Ngày,Đóng cửa,Mở,Cao,Thấp,KL,% Thay đổi
2014-01-02,93750.0,93750.0,95139.0,93750.0,46830.0,0.0
2014-01-03,94444.0,93750.0,94444.0,93750.0,44210.0,0.74
2014-01-06,94444.0,93750.0,94444.0,93750.0,111010.0,0.0
2014-01-07,93750.0,94444.0,94444.0,93750.0,152450.0,-0.73
2014-01-08,94444.0,93750.0,94444.0,93750.0,56020.0,0.74
2014-01-09,94444.0,94444.0,94444.0,93750.0,44780.0,0.0
2014-01-10,95833.0,94444.0,96528.0,94444.0,292160.0,1.47
2014-01-13,95139.0,95139.0,95833.0,95139.0,88390.0,-0.72
2014-01-14,95139.0,95139.0,95833.0,94444.0,132610.0,0.0
2014-01-15,95833.0,95833.0,95833.0,94444.0,164540.0,0.73
2014-01-16,95139.0,95833.0,95833.0,95139.0,107610.0,-0.72
2014-01-17,96528.0,95139.0,97917.0,95139.0,777730.0,1.46
2014-01-20,98611.0,96528.0,100694.0,96528.0,744680.0,2.16
2014-01-21,97917.0,98611.0,98611.0,97222.0,143580.0,-0.7
2014-01-22,97222.0,98611.0,98611.0,96528.0,459330.0,-0.71
2014-01-23,97917.0,97222.0,98611.0,97222.0,154610.0,0.71
2014-01-24,98611.0,97917.0,99305.0,97917.0,376000.0,0.71
2014-01-27,97917.0,98611.0,98611.0,97222.0,162580.0,-0.7
2014-02-06,97222.0,97917.0,98611.0,97222.0,255010.0,-0.71
2014-02-07,97222.0,97222.0,97917.0,96528.0,347370.0,0.0
2014-02-10,97222.0,97222.0,97222.0,95833.0,297100.0,0.0
2014-02-11,96528.0,96528.0,97917.0,96528.0,379990.0,-0.71
2014-02-12,97222.0,96528.0,97222.0,96528.0,126620.0,0.72
2014-02-13,96528.0,97917.0,97917.0,96528.0,210740.0,-0.71
2014-02-14,97222.0,97222.0,98611.0,96528.0,436980.0,0.72
2014-02-17,97222.0,97222.0,97917.0,96528.0,217560.0,0.0
2014-02-18,97222.0,97222.0,97917.0,96528.0,321310.0,0.0
2014-02-19,96528.0,97222.0,97917.0,96528.0,325770.0,-0.71
2014-02-20,95833.0,96528.0,97222.0,95833.0,490030.0,-0.72
2014-02-21,95833.0,95833.0,97222.0,95139.0,349100.0,0.0
2014-02-24,96528.0,95833.0,97222.0,95833.0,247780.0,0.73
2014-02-25,96528.0,96528.0,97222.0,95833.0,433770.0,0.0
2014-02-26,96528.0,96528.0,96528.0,95833.0,200150.0,0.0
2014-02-27,98611.0,96528.0,100000.0,95833.0,1760000.0,2.16
2014-02-28,97917.0,99305.0,99305.0,97917.0,276650.0,-0.7
2014-03-03,97917.0,97917.0,97917.0,96528.0,230830.0,0.0
2014-03-04,96528.0,97222.0,97917.0,96528.0,290060.0,-1.42
2014-03-05,96528.0,97222.0,97222.0,96528.0,169230.0,0.0
2014-03-06,96528.0,96528.0,97222.0,95833.0,382380.0,0.0
2014-03-07,96528.0,96528.0,97222.0,95833.0,162130.0,0.0
2014-03-10,97222.0,96528.0,97917.0,96528.0,284310.0,0.72
2014-03-11,97222.0,97222.0,97917.0,96528.0,458410.0,0.0
2014-03-12,97917.0,97222.0,99305.0,97222.0,1070000.0,0.71
2014-03-13,101389.0,97917.0,101389.0,97917.0,1450000.0,3.55
2014-03-14,104167.0,102083.0,105555.0,101389.0,1150000.0,2.74
2014-03-17,102778.0,104167.0,104861.0,102083.0,570800.0,-1.33
2014-03-18,102083.0,102778.0,102778.0,101389.0,635760.0,-0.68
2014-03-19,101389.0,102083.0,102778.0,100694.0,502500.0,-0.68
2014-03-20,99305.0,101389.0,102083.0,99305.0,635360.0,-2.06
2014-03-21,100000.0,99305.0,100694.0,99305.0,350020.0,0.7
2014-03-24,99305.0,100694.0,101389.0,99305.0,643650.0,-0.7
2014-03-25,98611.0,99305.0,100000.0,98611.0,472820.0,-0.7
2014-03-26,97222.0,98611.0,99305.0,96528.0,713540.0,-1.41
2014-03-27,97222.0,97917.0,97917.0,96528.0,393810.0,0.0
2014-03-28,97917.0,97222.0,98611.0,97222.0,300330.0,0.71
2014-03-31,97917.0,98611.0,99305.0,97917.0,253270.0,0.0
2014-04-01,97917.0,98611.0,98611.0,97222.0,261460.0,0.0
2014-04-02,97917.0,97917.0,98611.0,97222.0,301700.0,0.0
2014-04-03,100000.0,97917.0,100694.0,97917.0,399310.0,2.13
2014-04-04,100694.0,100000.0,100694.0,99305.0,517800.0,0.69
2014-04-07,102778.0,103472.0,104167.0,102083.0,1100000.0,2.07
2014-04-08,102083.0,102778.0,103472.0,102083.0,409250.0,-0.68
2014-04-10,100000.0,102083.0,102778.0,100000.0,598220.0,-2.04
2014-04-11,99305.0,99305.0,100694.0,98611.0,289400.0,-0.7
2014-04-14,98611.0,99305.0,100000.0,98611.0,541700.0,-0.7
2014-04-15,97917.0,98611.0,99305.0,97222.0,494630.0,-0.7
2014-04-16,97917.0,97917.0,98611.0,96528.0,385170.0,0.0
2014-04-17,97917.0,97917.0,98611.0,97222.0,284790.0,0.0
2014-04-18,97222.0,97917.0,97917.0,96528.0,363270.0,-0.71
2014-04-21,96528.0,97222.0,97222.0,96528.0,365760.0,-0.71
2014-04-22,97222.0,97222.0,97222.0,95833.0,230790.0,0.72
2014-04-23,96528.0,97222.0,97222.0,96528.0,106160.0,-0.71
2014-04-24,96528.0,96528.0,97222.0,95833.0,213940.0,0.0
2014-04-25,97917.0,97222.0,98611.0,96528.0,233480.0,1.44
2014-04-28,96528.0,97222.0,97222.0,96528.0,227510.0,-1.42
2014-04-29,96528.0,95833.0,97222.0,95833.0,116630.0,0.0
2014-05-05,95139.0,96528.0,96528.0,94444.0,381050.0,-1.44
2014-05-06,92361.0,95139.0,95139.0,91667.0,390670.0,-2.92
2014-05-07,93055.0,93055.0,94444.0,92361.0,138620.0,0.75
2014-05-08,86805.0,92361.0,92361.0,86805.0,1250000.0,-6.72
2014-05-09,90278.0,87500.0,90972.0,86805.0,367720.0,4.0
2014-05-12,86111.0,90278.0,90278.0,84722.0,639580.0,-4.62
2014-05-13,84028.0,84028.0,86805.0,84028.0,338490.0,-2.42
2014-05-14,86111.0,82639.0,86111.0,82639.0,408500.0,2.48
2014-05-15,83333.0,84722.0,86805.0,82639.0,436780.0,-3.23
2014-05-16,84028.0,83333.0,84722.0,82639.0,317680.0,0.83
2014-05-19,84722.0,84028.0,85417.0,83333.0,238720.0,0.83
2014-05-20,85417.0,84722.0,86111.0,84028.0,204290.0,0.82
2014-05-21,86805.0,85417.0,86805.0,85417.0,169780.0,1.62
2014-05-22,87500.0,86805.0,88889.0,86805.0,295560.0,0.8
2014-05-23,86805.0,87500.0,88194.0,86805.0,109820.0,-0.79
2014-05-26,85417.0,86805.0,86805.0,85417.0,153550.0,-1.6
2014-05-27,86111.0,86111.0,86805.0,84722.0,224580.0,0.81
2014-05-28,85417.0,86111.0,86805.0,84722.0,158160.0,-0.81
2014-05-29,85417.0,84722.0,86111.0,84722.0,111370.0,0.0
2014-05-30,85417.0,85417.0,86805.0,85417.0,199990.0,0.0
2014-06-02,86111.0,85417.0,86805.0,84722.0,209660.0,0.81
2014-06-03,86111.0,86111.0,86805.0,85417.0,96700.0,0.0
2014-06-04,86111.0,86111.0,86805.0,85417.0,263450.0,0.0
2014-06-05,86111.0,86805.0,86805.0,84722.0,123580.0,0.0
2014-06-06,86111.0,86111.0,86111.0,85417.0,45560.0,0.0
2014-06-09,86111.0,86111.0,86805.0,85417.0,240940.0,0.0
2014-06-10,84722.0,85417.0,86111.0,84722.0,229970.0,-1.61
2014-06-11,84722.0,85417.0,85417.0,84028.0,284110.0,0.0
2014-06-12,85417.0,84722.0,85417.0,84722.0,152010.0,0.82
2014-06-13,84722.0,86111.0,86111.0,84722.0,202050.0,-0.81
2014-06-16,84722.0,84722.0,85417.0,84722.0,71890.0,0.0
2014-06-17,84722.0,84722.0,85417.0,84722.0,251540.0,0.0
2014-06-18,84722.0,84722.0,85417.0,84028.0,140780.0,0.0
2014-06-19,84028.0,84028.0,84722.0,84028.0,136900.0,-0.82
2014-06-20,84028.0,84722.0,84722.0,84028.0,118630.0,0.0
2014-06-23,84028.0,84028.0,84722.0,84028.0,77310.0,0.0
2014-06-24,84028.0,84028.0,84722.0,84028.0,80670.0,0.0
2014-06-25,84722.0,84722.0,85417.0,84028.0,133040.0,0.83
